卫视频道,#genre#
云南卫视,http://110.7.131.4:9901/tsfile/live/0119_1.m3u8
北京卫视,http://61.138.128.226:19901/tsfile/live/0122_1.m3u8
海南卫视,http://58.57.40.22:9901/tsfile/live/1000_1.m3u8
兵团卫视,http://218.89.240.144:59901/tsfile/live/0115_1.m3u8
四川卫视,http://221.2.148.205:8154/tsfile/live/0123_1.m3u8
辽宁卫视,http://112.46.105.20:8009/hls/54/index.m3u8
东方卫视,http://221.2.148.205:8154/tsfile/live/0107_1.m3u8
四川卫视,http://113.15.109.216:59901/tsfile/live/0123_1.m3u8
天津卫视,http://116.128.242.83:9901/tsfile/live/1008_1.m3u8
黑龙江卫视,http://223.241.247.214:9901/tsfile/live/0143_1.m3u8
云南卫视,http://61.138.128.226:19901/tsfile/live/0119_1.m3u8
湖南卫视,http://61.138.128.226:19901/tsfile/live/0128_1.m3u8
山东卫视,http://112.46.85.60:8009/hls/40/index.m3u8
