,rtp://239.5.1.136:5000
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://www.qinyin.eu.org:35455/mgtv/608807420.m3u8
CCTV1,http://121.199.57.64:5000/udp/239.77.0.86:5146
CCTV1,http://121.199.57.64:5000/udp/239.77.0.129:5146
CCTV1,http://183.252.176.66//PLTV/88888888/224/3221225922/index.m3u8
CCTV1,rtp://239.254.96.96:8550
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://139.155.142.13:9177/miguHD.php
CCTV1,http://139.155.142.13:9177/migu.php
CCTV1,rtp://239.5.1.4:5000
CCTV1,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000231
CCTV1,https://live.imxd.top/live.php
CCTV1 综合,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8
CCTV1 综合,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8
CCTV1 综合,https://pi.0472.org/live/cctv1.m3u8
CCTV1 综合,https://hls-gateway.vpstv.net/streams/476879.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV10,http://www.qinyin.eu.org:35455/mgtv/624878405.m3u8
CCTV10,http://121.199.57.64:5000/udp/239.77.1.169:5146
CCTV10,http://121.199.57.64:5000/udp/239.77.0.134:5146
CCTV10,http://ha.xushining.com:50000/udp/225.1.1.140:5002
CCTV10,http://www.erbao1981.top:8188/udp/239.76.253.160:9000
